CELL ID,School name,URN,Total road length in catchment,percentage of Motorway,percentage of A Road,percentage of B Road,percentage of Minor Roads,percentage of Unknown,Year,Flood Name,Start Date,End Date,Duration,Flooded Roads Ratio,Year.1,Flood Name.1,Start Date.1,End Date.1,Duration.1,Flooded Roads Ratio.1,Year.3,Flood Name.3,Start Date.3,End Date.3,Duration.3,Flooded Roads Ratio.3,Year.4,Flood Name.4,Start Date.4,End Date.4,Duration.4,Flooded Roads Ratio.4,Year.5,Flood Name.5,Start Date.5,End Date.5,Duration.5,Flooded Roads Ratio.5,Year.6,Flood Name.6,Start Date.6,End Date.6,Duration.6,Flooded Roads Ratio.6,Year.7,Flood Name.7,Start Date.7,End Date.7,Duration.7,Flooded Roads Ratio.7,Year.8,Flood Name.8,Start Date.8,End Date.8,Duration.8,Flooded Roads Ratio.8
33,Mercer's Wood Academy,139332,11.47,0,6.4,0,74.5,19.1,2000,Lower Trent 12 Nov 2000,12/11/2000,12/11/2000,1 days,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,Beckingham January 2024,02/01/2024,10/01/2024,9 days,0,2025,,,,,0
35,Morton Trentside Primary School,120464,32.57,0,10.6,0,76.3,13.2,2000,Lower Trent 12 Nov 2000,12/11/2000,12/11/2000,1 days,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,Beckingham January 2024,02/01/2024,10/01/2024,9 days,0,2025,,,,,0
44,Nettleton Community Primary School,120465,74.93,0,7.2,20.1,35.1,37.7,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
21,Newton-on-Trent CofE Primary School,120578,53.46,0,31.5,0,40.7,27.9,2000,Lower Trent 12 Nov 2000,12/11/2000,12/11/2000,1 days,2.79,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,South Clifton January 2024,02/01/2024,10/01/2024,9 days,1.82,2025,,,,,0
37,Normanby Primary School,120468,68.62,0,9.7,0,69.4,20.9,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,LNA_2019_06_River Ancholme,11/06/2019,19/06/2019,9 days,0.23,2023,LNA_2023_10_Fluvial_Rase and Bishopsbridge,20/10/2023,23/10/2023,4 days,0.09,2024,,,,,0,2025,LNA_2025_01_Fluvial_Rase,04/01/2025,15/01/2025,12 days,0.04
43,Osgodby Primary School,120471,71.96,0,13.9,1.8,59.6,24.6,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,LNA_2019_11_River Ancholme,10/11/2019,30/11/2019,21 days,0.21,2023,LNA_2023_10_Fluvial_Rase and Bishopsbridge,20/10/2023,23/10/2023,4 days,0.35,2024,,,,,0,2025,LNA_2025_01_Fluvial_Rase,04/01/2025,15/01/2025,12 days,0.37
5,Pollyplatt Primary School,120472,58.58,0,12.2,3.2,38.1,46.4,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
13,Reepham Church of England Primary School,120581,26.92,0,8.7,0,61,30.3,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,LNA_2019_11_Barlings Eau,09/11/2019,30/11/2019,22 days,0,2023,LNA_2023_10_Fluvial_Barlings Eau,20/10/2023,23/10/2023,4 days,1.33,2024,LNA_2024_01_Fluvial_Barlings Eau,02/01/2024,09/01/2024,8 days,0,2025,,,,,0
4,Scampton Church of England Primary School,120585,42.97,0,10.2,13.8,53.3,22.7,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,LNA_2019_November_Burton Catchwater,08/11/2019,30/11/2019,23 days,0,2023,LNA_2023_10_Fluvial_Burton Catchwater,20/10/2023,23/10/2023,4 days,0.15,2024,LNA_2024_01_Fluvial_Burton Catchwater,02/01/2024,09/01/2024,8 days,0,2025,,,,,0
41,Scotter Primary School,120473,54.67,0,9.8,3,67.1,20,2000,,,,,0,2002,,,,,0,2007,River Eau Scotter June 2007,26/06/2007,26/06/2007,1 days,0.96,2013,Tidal Trent 5th December 2013,05/12/2013,06/12/2013,2 days,0,2019,,,,,0,2023,Scotter October 2023,16/10/2023,24/10/2023,9 days,0.42,2024,,,,,0,2025,,,,,0
26,"St George's Church of England Community Primary School, Gainsborough",131490,18.34,0,3.7,0,75.2,21,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
22,Sturton by Stow Primary School,120478,85.45,0,10.7,8.6,58.2,22.5,2000,Lower Trent 12 Nov 2000,12/11/2000,12/11/2000,1 days,0.42,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,LNA_2019_November_River Till,11/11/2019,30/11/2019,20 days,0.37,2023,LNA_2023_10_Fluvial_Till Washlands,20/10/2023,23/10/2023,4 days,2.7,2024,LNA_2024_01_Fluvial_Till Washlands,02/01/2024,09/01/2024,8 days,0.42,2025,,,,,0
20,Tealby School,120480,128.66,0,3.6,16.1,59.8,20.5,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
11,The Bardney Church of England and Methodist Primary School,120589,73.28,0,0,14.9,56.1,29,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,LNA_2019_11_Snakeholme Drain,09/11/2019,30/11/2019,22 days,2.5,2023,LNA_2023_10_Fluvial_Lower River Witham,20/10/2023,23/10/2023,4 days,2.57,2024,LNA_2024_01_Fluvial_Barlings Eau,02/01/2024,09/01/2024,8 days,2.46,2025,,,,,0
31,The Gainsborough Charles Baines Community Primary School,120492,4.18,0,0,4.3,88.8,6.9,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
30,The Gainsborough Parish Church Primary School,138640,4.65,0,7.6,0,88.7,3.7,2000,Lower Trent 12 Nov 2000,12/11/2000,12/11/2000,1 days,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,Beckingham January 2024,02/01/2024,10/01/2024,9 days,0,2025,,,,,0
29,The Gainsborough Parish Church Primary School,138640,16.22,0,6,7,82.6,4.4,2000,Lower Trent 12 Nov 2000,12/11/2000,12/11/2000,1 days,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,Beckingham January 2024,02/01/2024,10/01/2024,9 days,0,2025,,,,,0
46,The Grasby All Saints Church of England Primary School,120571,51.1,0,10.5,0,56.7,32.9,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
9,The Hackthorn Church of England Primary School,120572,35.03,0,4.8,0,70.7,24.5,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
18,The Market Rasen Church of England Primary School,120577,57.65,0,14.5,11.3,52.5,21.7,2000,LNA_2000_06_River Rase,06/06/2000,06/06/2000,1 days,0.04,2002,LNA_2002_11_River Rase South,06/11/2002,07/11/2002,2 days,0,2007,LNA_2007_06_River Rase,26/06/2007,26/06/2007,1 days,0,2013,,,,,0,2019,LNA_2019_11_River Rase,08/11/2019,30/11/2019,23 days,0,2023,LNA_2023_10_Fluvial_Rase and Bishopsbridge,20/10/2023,23/10/2023,4 days,0,2024,,,,,0,2025,LNA_2025_01_Fluvial_Rase,04/01/2025,15/01/2025,12 days,0.06
