Area,Ward,Number of schools,School,School URN,Year,Catchment area km2,Total road length in catchment,% of minor roads,Avg elevation,% of catchment in flood-risk zone,Road flood days per year,% of road length flooded at least once,Max flood duration,School population,Absence rate,Persistent absence,Avg lateness,School closure occured,Attainment score,Year-on-year attainment,YY value
Calderdale,,,"Cornholme Junior, Infant and Nursery School",107521,2023,46.56719,,,,2.787850044,,,,170,6,18.1,,,54%,,
West Lindsey,,,Corringham CofE VC Primary School,120568,2012,58.17132,63.19,62.7,,0.314801497,,,,92,4.1,,,,85.0%,,
West Lindsey,,,Corringham CofE VC Primary School,120568,2023,58.17132,63.19,62.7,,0.314801497,,,,106,5,11.5,,,65.0%,,
Calderdale,,,Cragg Vale Junior and Infant School,107508,2012,,,,,,,,,,,,,,86%,,
Calderdale,,,Cragg Vale Junior and Infant School,107508,2014,,,,,,,,,65,3.1,0,,,75%,,
Calderdale,,,Cross Lane Primary and Nursery School,107533,2012,1.677987,22.38,64,,9.945390826,,,,317,3.8,2,,,74%,,
Calderdale,,,Cross Lane Primary and Nursery School,107533,2023,1.677987,22.38,64,,9.945390826,,,,334,5.1,10.5,,,60%,,
Calderdale,,,Dean Field Community Primary School,107481,2012,1.147096,,,,18.1998684,,,,206,4.8,3.4,,,82%,,
Calderdale,,,Dean Field Community Primary School,145400,2019,1.147096,9.53,93.1,,18.1998684,,,,219,3.7,8.7,,,40%,,
Calderdale,,,Dean Field Community Primary School,145400,2023,1.147096,9.53,93.1,,18.1998684,,,,235,6.5,20.7,,,64%,,
West Lindsey,,,Dunholme St Chad's Church of England Primary School,120569,2012,39.68114,36.36,69.5,,1.575466046,,,,157,3.2,2.8,,,88.0%,,
West Lindsey,,,Dunholme St Chad's Church of England Primary School,120569,2023,39.68114,36.36,69.5,,1.575466046,,,,210,5.2,12.5,,,72.0%,,
Calderdale,,,"Elland Church of England (Voluntary Aided) Junior, Infant and Nursery School",107550,2023,1.28494,25.59,64.6,,7.501624876,,,,177,7.2,22.7,,,33%,,
Calderdale,,,Elland CofE Junior and Infant School,107550,2012,1.28494,25.59,64.6,,7.501624876,,,,188,4.5,2.7,,,67%,,
West Lindsey,,,Ellison Boulters Church of England Primary School,138753,2012,69.55861,60.95,60.7,,1.230031406,,,,273,3.8,,,,79.0%,,
West Lindsey,,,Ellison Boulters Church of England Primary School,138753,2023,69.55861,60.95,60.7,,1.230031406,,,,286,4.1,7.7,,,59.0%,,
West Lindsey,,,Faldingworth Community Primary School,120445,2012,47.62965,89.07,65.9,,6.476988848,,,,53,4.9,,,,100.0%,,
West Lindsey,,,Faldingworth Community Primary School,120445,2023,47.62965,89.07,65.9,,6.476988848,,,,70,6.8,14.1,,,50.0%,,
Calderdale,,,Ferney Lee Primary School,107478,2012,1.164313,29.14,63.3,,3.920162677,,,,193,5.8,6.3,,,77%,,
Calderdale,,,Ferney Lee Primary School,107478,2023,1.164313,29.14,63.3,,3.920162677,,,,211,6.8,24.5,,,45%,,
Calderdale,,,Field Lane Primary School,107527,2012,3.712434,,,,1.894886883,,,,160,4.2,2.8,,,73%,,
Calderdale,,,Field Lane Primary School,138398,2013,3.712434,12.48,84.2,,1.894886883,,,,157,4.8,2.4,,,86%,,
Calderdale,,,Field Lane Primary School,138398,2023,3.712434,12.48,84.2,,1.894886883,,,,111,5.9,22,,,57%,,
West Lindsey,,,Fiskerton Church of England Primary School,120570,2012,34.65824,36.76,70.6,,0.459646962,,,,65,3.6,,,,83.0%,,
West Lindsey,,,Fiskerton Church of England Primary School,120570,2023,34.65824,36.76,70.6,,0.459646962,,,,89,4.5,11.1,,,47.0%,,
West Lindsey,,,Frances Olive Anderson Church of England (Aided) Primary School,120625,2012,46.06844,23.11,63,,20.45537806,,,,161,4.9,5.8,,,76.0%,,
West Lindsey,,,Frances Olive Anderson Church of England (Aided) Primary School,120625,2023,46.06844,23.11,63,,20.45537806,,,,168,4.6,6,,,44.0%,,
West Lindsey,,,Gainsborough Benjamin Adlard Community School,138063,2012,47.97429,24.16,58.3,,17.04656777,,,,200,,,,,43.0%,,
West Lindsey,,,Gainsborough Benjamin Adlard Community School,138063,2023,47.97429,24.16,58.3,,17.04656777,,,,233,6.7,17.9,,,50.0%,,
Calderdale,,,Halifax Holy Trinity CofE (VA) Primary School,131176,2012,,,,,,,,,448,5.4,6.6,,,82%,,
Calderdale,,,Hebden Royd CofE VA Primary School,107551,2012,5.988955,20.13,52.2,,3.775991091,3,11.39,,,,,,,44%,,
Calderdale,,,Hebden Royd CofE VA Primary School,107551,2023,5.988955,20.13,52.2,,3.775991091,,,,111,5.3,11.8,,,86%,,
West Lindsey,,,Hemswell Cliff Primary School,120491,2012,19.95389,62.19,51.4,,19.09329155,,,,87,5.4,5.8,,,63.0%,,
West Lindsey,,,Hemswell Cliff Primary School,120491,2023,19.95389,62.19,51.4,,19.09329155,,,,42,7.6,36.1,,,30.0%,,
Calderdale,,,Heptonstall Junior Infant and Nursery School,107511,2012,16.6126,23.81,60,,0.677648125,,,,90,3.5,0,,,100%,,
