Area,Ward,Number of schools,School,School URN,Year,Catchment area km2,Total road length in catchment,% of minor roads,Avg elevation,% of catchment in flood-risk zone,Road flood days per year,% of road length flooded at least once,Max flood duration,School population,Absence rate,Persistent absence,Avg lateness,School closure occured,Attainment score,Year-on-year attainment,YY value
Calderdale,,,St Joseph's Roman Catholic Voluntary Academy,147583,2023,1.663358,,,,0,,,,132,5.3,13.2,,,81%,,
Calderdale,,,St Malachy's Catholic Primary School,107545,2012,1.392682,,,,19.79533336,,,,183,5.4,6.6,,,55%,,
Calderdale,,,"St Malachy's Catholic Primary School, A Voluntary Academy",141480,2016,1.392682,8.19,90.6,,19.79533336,,,,209,5.1,13.7,,,31%,,
Calderdale,,,"St Malachy's Catholic Primary School, A Voluntary Academy",141480,2023,1.392682,8.19,90.6,,19.79533336,,,,157,8.3,25.3,,,20%,,
Calderdale,,,St Mary's Catholic Primary Academy,148657,2023,3.057891,,,,2.506275819,,,,302,6.9,19.8,,,58%,,
Calderdale,,,St Mary's Catholic Primary School,107546,2012,3.057891,11.39,83.4,,2.506275819,,,,285,4.1,3.1,,,76%,,
Calderdale,,,St Mary's CofE (VC) J and I School,107538,2012,5.877059,37.93,64.5,,3.432487407,,,,82,3,0,,,60%,,
Calderdale,,,St Mary's CofE (VC) J and I School,107538,2014,5.877059,37.93,64.5,,3.432487407,,,,90,2.4,0,,,92%,,
Calderdale,,,St Mary's CofE (VC) J and I School,107538,2023,5.877059,37.93,64.5,,3.432487407,,,,97,4.2,8.2,,,56%,,
Calderdale,,,St Michael and All Angels CofE Primary & Pre School,107570,2023,0.706773,,,,17.79129781,,,,188,5.1,10.3,,,30%,,
Calderdale,,,St Michael and All Angels CofE Primary School,107570,2012,0.706773,,,,17.79129781,,,,,,,,,83%,,
Calderdale,,,St Patrick's Catholic Primary Academy,148658,2023,3.755222,,,,0.011119779,,,,110,6.2,21.7,,,71%,,
Calderdale,,,St Patrick's Catholic Primary School,107557,2012,3.755222,8.62,90.4,,0.011119779,,,,98,4.2,4.7,,,75%,,
West Lindsey,,,Sturton by Stow Primary School,120478,2012,45.12019,85.45,58.2,,3.248854858,,,,127,4.1,4.5,,,70.0%,,
West Lindsey,,,Sturton by Stow Primary School,120478,2023,45.12019,85.45,58.2,,3.248854858,,,,178,5.4,14.9,,,46.0%,,
West Lindsey,,,Tealby School,120480,2012,38.97615,128.66,59.8,,16.13286671,,,,56,3.7,,,,89.0%,,
West Lindsey,,,Tealby School,120480,2014,38.97615,128.66,59.8,,16.13286671,,,,76,3.6,,,,92.0%,,
West Lindsey,,,Tealby School,120480,2023,38.97615,128.66,59.8,,16.13286671,,,,79,6.8,26.8,,,36.0%,,
West Lindsey,,,The Bardney Church of England and Methodist Primary School,120589,2012,20.67967,73.28,56.1,,26.95199682,,,,104,3.8,3,,,92.0%,,
West Lindsey,,,The Bardney Church of England and Methodist Primary School,120589,2023,20.67967,73.28,56.1,,26.95199682,,,,194,6.6,21.3,,,74.0%,,
Calderdale,,,The Calder Learning Trust,107562,2023,,,,,,,,,1353,9.8,31,,,62%,,
West Lindsey,,,The Gainsborough Charles Baines Community Primary School,120492,2012,9.203476,21.07,53.3,,6.492418543,,,,196,5.6,4.7,,,80.0%,,
West Lindsey,,,The Gainsborough Charles Baines Community Primary School,120492,2023,9.203476,21.07,53.3,,6.492418543,,,,205,7.2,24.3,,,41.0%,,
West Lindsey,,,The Gainsborough Parish Church Primary School,138640,2012,0.976087,20.82,83.9,,0,,,,307,4.7,4.1,,,78.0%,,
West Lindsey,,,The Gainsborough Parish Church Primary School,138640,2023,0.976087,20.82,83.9,,0,,,,298,7.1,24.5,,,43.0%,,
West Lindsey,,,The Grasby All Saints Church of England Primary School,120571,2012,1.29802,51.1,56.7,,0.42740846,,,,106,2.9,0,,,73.0%,,
West Lindsey,,,The Grasby All Saints Church of England Primary School,120571,2023,1.29802,51.1,56.7,,0.42740846,,,,69,4.2,11.9,,,88.0%,,
Calderdale,,,The Greetland Academy,136375,2012,0.654854,22.09,68.5,,0,,,,398,3.4,2,,,100%,,
Calderdale,,,The Greetland Academy,136375,2023,0.654854,22.09,68.5,,0,,,,413,4.3,7,,,87%,,
West Lindsey,,,The Hackthorn Church of England Primary School,120572,2012,1.244574,35.03,70.7,,12.08773773,,,,56,5.7,,,,100.0%,,
West Lindsey,,,The Hackthorn Church of England Primary School,120572,2023,1.244574,35.03,70.7,,12.08773773,,,,57,3.2,1.9,,,89.0%,,
Calderdale,,,The Halifax Academy,140326,2023,,,,,,,,,1445,10.3,37.9,,,52%,,
West Lindsey,,,The Market Rasen Church of England Primary School,120577,2012,6.558138,57.65,52.5,,0.012122482,,,,261,4.7,4.2,,,91.0%,,
West Lindsey,,,The Market Rasen Church of England Primary School,120577,2023,6.558138,57.65,52.5,,0.012122482,,,,316,4.7,9.7,,,54.0%,,
West Lindsey,,,The Middle Rasen Primary School,120463,2012,3.105958,31.6,50.1,,33.0601491,,,,98,4.4,,,,75.0%,,
West Lindsey,,,The Middle Rasen Primary School,120463,2023,3.105958,31.6,50.1,,33.0601491,,,,134,6,16.7,,,58.0%,,
West Lindsey,,,The Nettleham Church of England Voluntary Aided Junior School,120626,2012,5.58143,56.69,60.1,,0,,,,236,3.9,2.5,,,83.0%,,
West Lindsey,,,The Nettleham Church of England Voluntary Aided Junior School,120626,2023,5.58143,56.69,60.1,,0,,,,223,4.7,10.8,,,56.0%,,
West Lindsey,,,"The North-County Primary School, Gainsborough",120448,2012,5.58143,,,,,,,,170,6.9,7.6,,,62.0%,,
West Lindsey,,,The Saxilby Church of England Primary School,120583,2012,8.841411,83.84,59.8,,1.521392228,,,,274,3.5,2.4,,,91.0%,,
West Lindsey,,,The Saxilby Church of England Primary School,120583,2023,8.841411,83.84,59.8,,1.521392228,,,,381,5.4,11,,,72.0%,,
West Lindsey,,,"The White's Wood Lane Community Junior School, Gainsborough",120489,2012,8.841411,,,,,,,,143,4.2,2,,,84.0%,,
Calderdale,,,"Todmorden CofE J, I & N School",107556,2023,0.485686,8.1,68.4,,0,,,,254,4.3,8,,,72%,,
Calderdale,,,Todmorden CofE Junior and Infant School,107556,2012,0.485686,8.1,68.4,,0,3,13.9,,187,6.1,7.4,,,74%,,
Calderdale,,,Triangle CofE VC Primary School,107540,2012,0.444774,11.36,64.9,,0,,,,,,,,,87%,,
Calderdale,,,Triangle CofE VC Primary School,107540,2023,0.444774,11.36,64.9,,0,,,,190,4.6,8.9,,,60%,,
Calderdale,,,Trinity Academy Akroydon,143651,2023,0.65633,19.2,81,,1.084400944,,,,285,5.2,12.6,,,51%,,
Calderdale,,,Trinity Academy St Chad's,146959,2023,0.907871,13.73,60.5,,1.227663626,,,,152,3.6,4.2,,,83%,,
Calderdale,,,Trinity Academy St Peter's,148143,2023,0.544827,15.39,86.2,,0.182297683,,,,103,4.9,12.1,,,47%,,
West Lindsey,,,Waddingham Primary School,120485,2012,22.27238,75.01,57.8,,2.823915813,,,,72,3.8,0,,,85.0%,,
West Lindsey,,,Waddingham Primary School,120485,2015,22.27238,75.01,57.8,,2.823915813,,,,76,4.6,4.3,,,100.0%,,
West Lindsey,,,Waddingham Primary School,120485,2023,22.27238,75.01,57.8,,2.823915813,,,,77,4.8,7.2,,,43.0%,,
Calderdale,,,Wainstalls School,107493,2012,1.340436,,,,4.970683047,,,,,,,,,79%,,
Calderdale,,,Wainstalls School,140107,2014,1.340436,36.9,54.5,,4.970683047,,,,,,,,,86%,,
Calderdale,,,Wainstalls School,140107,2023,1.340436,36.9,54.5,,4.970683047,,,,203,3.7,5.1,,,82%,,
Calderdale,,,Walsden St Peter's CE (VC) Primary School,135862,2012,2.385039,,,,0.014669516,,,,147,3.7,0,,,79%,,
Calderdale,,,Walsden St Peter's CE (VC) Primary School,135862,2023,2.385039,,,,0.014669516,,,,171,3.8,4.2,,,54%,,
Calderdale,,,Warley Road Primary Academy,146677,2023,1.06476,,,,6.751553666,,,,540,7,25.1,,,67%,,
Calderdale,,,Warley Road Primary School,107494,2012,1.06476,23.84,80.6,,6.751553666,,,,537,4.6,4.2,,,75%,,
Calderdale,,,Warley Town School,107495,2012,2.358327,16.48,78.3,,1.871171344,,,,,,,,,87%,,
Calderdale,,,Warley Town School,107495,2023,2.358327,16.48,78.3,,1.871171344,,,,137,4.1,10.7,,,60%,,
West Lindsey,,,Welton St Mary's Church of England Primary Academy,139187,2014,18.59008,33.23,70.8,,0.138911192,,,,373,2.4,0,,,91.0%,,
West Lindsey,,,Welton St Mary's Church of England Primary Academy,139187,2023,18.59008,33.23,70.8,,0.138911192,,,,381,4.5,8.3,,,72.0%,,
West Lindsey,,,Welton St Mary's Church of England Primary School,139187,2012,18.59008,33.23,70.8,,0.138911192,,,,384,3.1,,,,83.0%,,
Calderdale,,,West Vale Academy,145571,2023,3.176357,11.25,49.6,,4.799313912,,,,127,6.4,18.4,,,58%,,
Calderdale,,,West Vale Primary School,107573,2012,3.176357,,,,4.799313912,,,,171,3.8,0,,,56%,,
Calderdale,,,West Vale Primary School,145571,2019,3.176357,11.25,49.6,,4.799313912,,,,164,4.2,11.7,,,68%,,
Calderdale,,,Whitehill Community Academy,136547,2012,,18.39,81.6,,,,,,494,3.4,1.3,,,71%,,
Calderdale,,,Whitehill Community Academy,136547,2023,,18.39,81.6,,,,,,700,5.1,11.2,,,61%,,
West Lindsey,,,White's Wood Academy,139361,2014,13.85026,11.61,84.4,,12.76794906,,,,181,5,5.2,,,89.0%,,
West Lindsey,,,White's Wood Academy,139361,2023,13.85026,11.61,84.4,,12.76794906,,,,203,6.5,22.5,,,51.0%,,
West Lindsey,,,Willoughton Primary School,120487,2012,18.00527,43.96,64.4,,1.324866648,,,,45,3.2,,,,57.0%,,
West Lindsey,,,Willoughton Primary School,120487,2014,18.00527,43.96,64.4,,1.324866648,,,,39,4.9,,,,,,
West Lindsey,,,Willoughton Primary School,120487,2015,18.00527,43.96,64.4,,1.324866648,,,,43,4.1,0,,,89.0%,,
West Lindsey,,,Willoughton Primary School,120487,2023,18.00527,43.96,64.4,,1.324866648,,,,48,5.4,12.8,,,50.0%,,
Calderdale,,,Withinfields Primary School,107502,2012,13.89866,24.7,77.9,,0.583341055,,,,300,4.4,3.6,,,71%,,
Calderdale,,,Withinfields Primary School,107502,2023,13.89866,24.7,77.9,,0.583341055,,,,346,5.7,17.3,,,69%,,
Calderdale,,,Wood Bank School,107590,2018,,,,,,,,,75,9.4,24.1,,,0%,,
Calderdale,,,Wood Bank School,107590,2012,,,,,,,,,,,,,,0%,,
Calderdale,,,Wood Bank School,107590,2013,,,,,,,,,,,,,,0%,,
Calderdale,,,Wood Bank School,107590,2014,,,,,,,,,70,10.7,20,,,0%,,
Calderdale,,,Wood Bank School,107590,2015,,,,,,,,,74,10.7,20.7,,,0%,,
Calderdale,,,Wood Bank School,107590,2016,,,,,,,,,72,9.6,32.3,,,0%,,
Calderdale,,,Wood Bank School,107590,2017,,,,,,,,,69,9.8,31,,,0%,,
Calderdale,,,Wood Bank School,107590,2019,,,,,,,,,72,8.3,27.9,,,0%,,
Calderdale,,,Wood Bank School,107590,2023,,,,,,,,,112,13.1,44.8,,,0%,,
Calderdale,,,Wood Bank School,107590,2024,,,,,,,,,122,13.5,48.5,,,0%,,
Calderdale,,,Woodhouse Primary School,107528,2012,8.856501,16.58,86,,2.600911836,,,,,,,,,88%,,
Calderdale,,,Woodhouse Primary School,107528,2023,8.856501,16.58,86,,2.600911836,,,,420,3.9,5.2,,,74%,,
Calderdale,Brighouse,4,,,2022,,,,,,,,,,,,,,59.92%,,
Calderdale,Calder,7,,,2022,,,,,,,,,,,,,,61.82%,,
Calderdale,Elland,4,,,2022,,,,,,,,,,,,,,56.56%,,
Calderdale,Greetland and Stainland,5,,,2022,,,,,,,,,,,,,,64.32%,,
Calderdale,Hipperholme and Lightcliffe,3,,,2022,,,,,,,,,,,,,,56.21%,,
Calderdale,Illingworth and Mixenden,4,,,2022,,,,,,,,,,,,,,57.62%,,
Calderdale,Luddendenfoot,8,,,2022,,,,,,,,,,,,,,57.23%,,
Calderdale,Northowram and Shelf,6,,,2022,,,,,,,,,,,,,,52.98%,,
Calderdale,Ovenden,4,,,2022,,,,,,,,,,,,,,53.96%,,
Calderdale,Park,4,,,2022,,,,,,,,,,,,,,60.85%,,
Calderdale,Rastrick,5,,,2022,,,,,,,,,,,,,,56.77%,,
Calderdale,Ryburn,7,,,2022,,,,,,,,,,,,,,63.47%,,
Calderdale,Skircoat,6,,,2022,,,,,,,,,,,,,,58.62%,,
Calderdale,Sowerby Bridge,3,,,2022,,,,,,,,,,,,,,55.91%,,
Calderdale,Todmorden,6,,,2022,,,,,,,,,,,,,,60.23%,,
Calderdale,Town,2,,,2022,,,,,,,,,,,,,,58.05%,,
Calderdale,Warley,4,,,2022,,,,,,,,,,,,,,53.46%,,
Calderdale,,,Abbey Park Academy,140172,2017,18.9596,15.61,76.3,,1.689993816,,,,213,4,7.3,,,62%,93.75%,93.75%
Calderdale,,,Abbey Park Academy,140172,2024,18.9596,15.61,76.3,,1.689993816,,,,202,6,19.9,,,77%,35.09%,35.09%
Calderdale,,,Abbey Park Academy,140172,2018,18.9596,15.61,76.3,,1.689993816,,,,216,4.4,8.9,,,73%,17.74%,17.74%
Calderdale,,,Abbey Park Academy,140172,2019,18.9596,15.61,76.3,,1.689993816,,,,215,4.1,10.5,,,60%,-17.81%,-17.81%
Calderdale,,,Abbey Park Academy,140172,2016,18.9596,15.61,76.3,,1.689993816,,,,223,4.4,13.5,,,32%,-61.90%,-61.90%
Calderdale,,,"Abbey Park Junior, Infant and Nursery School",107498,2014,18.9596,,76.3,,1.689993816,,,,,,,,,46%,0.00%,0.00%
Calderdale,,,"Abbey Park Junior, Infant and Nursery School",107498,2013,18.9596,,76.3,,1.689993816,,,,226,4.5,2.8,,,46%,-8.00%,-8.00%
Calderdale,,,Akroydon Primary Academy,143651,2019,,19.2,81,,0.602108941,,,,354,4.8,12.1,,,70%,12.90%,12.90%
Calderdale,,,All Saints' CofE Primary School,107569,2024,13.5122,12.59,57.4,,,,,,207,3.9,4.8,,,83%,31.75%,31.75%
Calderdale,,,All Saints' CofE VA Junior and Infant School,107569,2018,13.5122,12.59,57.4,,,,,,211,3.7,5.9,,,83%,13.70%,13.70%
Calderdale,,,All Saints' CofE VA Junior and Infant School,107569,2015,13.5122,12.59,57.4,,,,,,,,,,,100%,11.11%,11.11%
Calderdale,,,All Saints' CofE VA Junior and Infant School,107569,2019,13.5122,12.59,57.4,,,,,,212,3,5.9,,,90%,8.43%,8.43%
Calderdale,,,All Saints' CofE VA Junior and Infant School,107569,2017,13.5122,12.59,57.4,,,,,,211,3.3,3.3,,,73%,7.35%,7.35%
Calderdale,,,All Saints' CofE VA Junior and Infant School,107569,2013,13.5122,12.59,57.4,,,,,,213,3.9,1.6,,,97%,0.00%,0.00%
Calderdale,,,All Saints' CofE VA Junior and Infant School,107569,2014,13.5122,12.59,57.4,,,,,,211,2.8,0,,,90%,-7.22%,-7.22%
Calderdale,,,All Saints' CofE VA Junior and Infant School,107569,2016,13.5122,12.59,57.4,,,5,11.48,,213,3.3,6,,,68%,-32.00%,-32.00%
Calderdale,,,Ash Green Community Primary School,107534,2017,0.833288,19.34,82.7,,25.06545058,,,,479,4.3,7.9,,,53%,26.19%,26.19%
Calderdale,,,Ash Green Community Primary School,107534,2018,0.833288,19.34,82.7,,25.06545058,,,,482,4.8,11.5,,,59%,11.32%,11.32%
Calderdale,,,Ash Green Community Primary School,107534,2013,0.833288,19.34,82.7,,25.06545058,,,,449,4.3,3,,,78%,8.33%,8.33%
Calderdale,,,Ash Green Community Primary School,107534,2014,0.833288,19.34,82.7,,25.06545058,,,,461,3.2,1.1,,,81%,3.85%,3.85%
Calderdale,,,Ash Green Community Primary School,107534,2015,0.833288,19.34,82.7,,25.06545058,,,,452,4.1,1.7,,,75%,-7.41%,-7.41%
Calderdale,,,Ash Green Community Primary School,107534,2019,0.833288,19.34,82.7,,25.06545058,,,,470,3.8,6.6,,,50%,-15.25%,-15.25%
Calderdale,,,Ash Green Community Primary School,107534,2024,0.833288,19.34,82.7,,25.06545058,,,,477,7.4,23.8,,,52%,-16.13%,-16.13%
Calderdale,,,Ash Green Community Primary School,107534,2016,0.833288,19.34,82.7,,25.06545058,,,,445,4.1,9.6,,,42%,-44.00%,-44.00%
Calderdale,,,Bailiffe Bridge Junior and Infant School,107499,2017,5.591459,,,,2.379727684,,,,207,2.3,1.7,,,74%,29.82%,29.82%
Calderdale,,,Bailiffe Bridge Junior and Infant School,107499,2024,5.591459,,,,2.379727684,,,,191,3.6,5.2,,,81%,20.90%,20.90%
Calderdale,,,Bailiffe Bridge Junior and Infant School,107499,2018,5.591459,,,,2.379727684,,,,212,2.6,2.2,,,80%,8.11%,8.11%
Calderdale,,,Bailiffe Bridge Junior and Infant School,107499,2014,5.591459,,,,2.379727684,,,,,,,,,86%,3.61%,3.61%
Calderdale,,,Bailiffe Bridge Junior and Infant School,107499,2015,5.591459,,,,2.379727684,,,,,,,,,88%,2.33%,2.33%
Calderdale,,,Bailiffe Bridge Junior and Infant School,107499,2013,5.591459,,,,2.379727684,,,,204,3.8,1.7,,,83%,-7.78%,-7.78%
Calderdale,,,Bailiffe Bridge Junior and Infant School,107499,2019,5.591459,,,,2.379727684,,,,,,,,,73%,-8.75%,-8.75%
Calderdale,,,Bailiffe Bridge Junior and Infant School,107499,2016,5.591459,,,,2.379727684,,,,206,2.4,2.2,,,57%,-35.23%,-35.23%
Calderdale,,,Barkisland CofE VA Primary School,107552,2017,0.933458,25.67,62,,13.23643273,,,,205,2.7,1.7,,,67%,13.56%,13.56%
Calderdale,,,Barkisland CofE VA Primary School,107552,2014,0.933458,25.67,62,,13.23643273,,,,,,,,,95%,13.10%,13.10%
Calderdale,,,Barkisland CofE VA Primary School,107552,2019,0.933458,25.67,62,,13.23643273,,,,201,2.6,3.3,,,60%,11.11%,11.11%
Calderdale,,,Barkisland CofE VA Primary School,107552,2013,0.933458,25.67,62,,13.23643273,,,,,,,,,84%,5.00%,5.00%
Calderdale,,,Barkisland CofE VA Primary School,107552,2024,0.933458,25.67,62,,13.23643273,,,,190,3.5,3.5,,,60%,3.45%,3.45%
Calderdale,,,Barkisland CofE VA Primary School,107552,2015,0.933458,25.67,62,,13.23643273,,,,182,2.5,0,,,87%,-8.42%,-8.42%
Calderdale,,,Barkisland CofE VA Primary School,107552,2018,0.933458,25.67,62,,13.23643273,,,,205,3.1,4.4,,,54%,-19.40%,-19.40%
Calderdale,,,Barkisland CofE VA Primary School,107552,2016,0.933458,25.67,62,,13.23643273,5,0,,,,,,,59%,-32.18%,-32.18%
Calderdale,,,Beech Hill Junior and Infant School,137337,2014,7.42068,14.29,76.2,,2.706083299,,,,594,4.6,2.4,,,81%,17.39%,17.39%
Calderdale,,,Beech Hill Junior and Infant School,137337,2015,7.42068,14.29,76.2,,2.706083299,,,,592,5.5,4.6,,,70%,-13.58%,-13.58%
Calderdale,,,Beech Hill Junior and Infant School,137337,2013,7.42068,14.29,76.2,,2.706083299,,,,560,5.4,4.6,,,69%,-14.81%,-14.81%
Calderdale,,,Beech Hill School,137337,2018,7.42068,14.29,76.2,,2.706083299,,,,579,3.8,5.8,,,59%,15.69%,15.69%
Calderdale,,,Beech Hill School,137337,2019,7.42068,14.29,76.2,,2.706083299,,,,606,3.8,8.2,,,66%,11.86%,11.86%
Calderdale,,,Beech Hill School,137337,2017,7.42068,14.29,76.2,,2.706083299,,,,589,3.8,7.2,,,51%,8.51%,8.51%
Calderdale,,,Beech Hill School,137337,2024,7.42068,14.29,76.2,,2.706083299,,,,518,5.7,14,,,75%,0.00%,0.00%
Calderdale,,,Beech Hill School,137337,2016,7.42068,14.29,76.2,,2.706083299,5,9.12,,580,4.2,9,,,47%,-32.86%,-32.86%
West Lindsey,,,Blyton Cum Laughton Church of England School,120619,2017,33.48251,67.89,67.6,,0.336168051,,,,143,4.9,10.2,,,71.0%,77.50%,77.50%
West Lindsey,,,Blyton Cum Laughton Church of England School,120619,2019,33.48251,67.89,67.6,,0.336168051,,,,137,5.3,12.7,,,64.0%,28.00%,28.00%
West Lindsey,,,Blyton Cum Laughton Church of England School,120619,2013,33.48251,67.89,67.6,,0.336168051,,,,137,4.7,,,,93.0%,12.05%,12.05%
West Lindsey,,,Blyton Cum Laughton Church of England School,120619,2015,33.48251,67.89,67.6,,0.336168051,,,,153,3.8,,,,86.0%,6.17%,6.17%
West Lindsey,,,Blyton Cum Laughton Church of England School,120619,2014,33.48251,67.89,67.6,,0.336168051,2,0.09,,152,3.4,0,,,81.0%,-12.90%,-12.90%
West Lindsey,,,Blyton Cum Laughton Church of England School,120619,2018,33.48251,67.89,67.6,,0.336168051,,,,149,5,13.2,,,50.0%,-29.58%,-29.58%
West Lindsey,,,Blyton Cum Laughton Church of England School,120619,2024,33.48251,67.89,67.6,,0.336168051,,,,136,7.6,23.8,,,39.0%,-38.10%,-38.10%
West Lindsey,,,Blyton Cum Laughton Church of England School,120619,2016,33.48251,67.89,67.6,,0.336168051,,,,147,4.5,9.1,,,40.0%,-53.49%,-53.49%
Calderdale,,,Bolton Brow Primary Academy,137392,2018,7.53872,11.55,67.5,,2.233144414,,,,232,3.7,7.6,,,69%,21.05%,21.05%
Calderdale,,,Bolton Brow Primary Academy,137392,2015,7.53872,11.55,67.5,,2.233144414,,,,,,,,,93%,16.25%,16.25%
Calderdale,,,Bolton Brow Primary Academy,137392,2013,7.53872,11.55,67.5,,2.233144414,,,,256,4.6,4.4,,,80%,14.29%,14.29%
Calderdale,,,Bolton Brow Primary Academy,137392,2017,7.53872,11.55,67.5,,2.233144414,,,,236,3.1,1.6,,,57%,14.00%,14.00%
Calderdale,,,Bolton Brow Primary Academy,137392,2019,7.53872,11.55,67.5,,2.233144414,,,,237,3.6,6,,,73%,5.80%,5.80%
Calderdale,,,Bolton Brow Primary Academy,137392,2014,7.53872,11.55,67.5,,2.233144414,,,,,,,,,80%,0.00%,0.00%
Calderdale,,,Bolton Brow Primary Academy,137392,2024,7.53872,11.55,67.5,,2.233144414,,,,228,3.9,7.7,,,63%,-13.70%,-13.70%
Calderdale,,,Bolton Brow Primary Academy,137392,2016,7.53872,11.55,67.5,,2.233144414,5,24.41,,242,2.9,1.6,,,50%,-46.24%,-46.24%
Calderdale,,,Bowling Green Academy,148202,2024,37.10222,,,,1.964222259,,,,152,4.5,9.9,,,82%,6.49%,6.49%
Calderdale,,,Bowling Green Primary School,107503,2017,37.10222,16.7,63.4,,1.964222259,,,,159,3.6,6.5,,,71%,54.35%,54.35%
Calderdale,,,Bowling Green Primary School,107503,2014,37.10222,16.7,63.4,,1.964222259,,,,155,3.1,2.2,,,95%,10.47%,10.47%
Calderdale,,,Bowling Green Primary School,107503,2013,37.10222,16.7,63.4,,1.964222259,,,,158,4.1,3,,,86%,-1.15%,-1.15%
Calderdale,,,Bowling Green Primary School,107503,2019,37.10222,16.7,63.4,,1.964222259,,,,156,3.8,8.7,,,55%,-3.51%,-3.51%
Calderdale,,,Bowling Green Primary School,107503,2015,37.10222,16.7,63.4,,1.964222259,,,,,,,,,79%,-16.84%,-16.84%
Calderdale,,,Bowling Green Primary School,107503,2018,37.10222,16.7,63.4,,1.964222259,,,,158,3.6,5.8,,,57%,-19.72%,-19.72%
Calderdale,,,Bowling Green Primary School,107503,2016,37.10222,16.7,63.4,,1.964222259,,,,160,3.8,5.7,,,46%,-41.77%,-41.77%
Calderdale,,,Bradshaw Primary School,137987,2018,1.8801,,,,9.250517075,,,,332,3.6,6.5,,,94%,84.31%,84.31%
Calderdale,,,Bradshaw Primary School,137987,2014,1.8801,,,,9.250517075,,,,310,3.7,1.1,,,91%,10.98%,10.98%
Calderdale,,,Bradshaw Primary School,137987,2024,1.8801,,,,9.250517075,,,,329,4.5,10.4,,,69%,2.99%,2.99%
Calderdale,,,Bradshaw Primary School,137987,2015,1.8801,,,,9.250517075,,,,318,3.7,1.4,,,90%,-1.10%,-1.10%
Calderdale,,,Bradshaw Primary School,137987,2019,1.8801,,,,9.250517075,,,,329,3.6,4.8,,,87%,-7.45%,-7.45%
Calderdale,,,Bradshaw Primary School,137987,2017,1.8801,,,,9.250517075,,,,329,3.6,7.5,,,51%,-22.73%,-22.73%
Calderdale,,,Bradshaw Primary School,137987,2016,1.8801,,,,9.250517075,,,,305,3.3,6.3,,,66%,-26.67%,-26.67%
West Lindsey,,,Brocklesby Park Primary School,120442,2013,,,,,,,,,30,4.6,0,,,,-100.00%,-100.00%
Calderdale,,,Burnley Road Academy,137391,2017,1.18329,27.07,69.5,,1.474858997,,,,251,3.5,5.1,,,74%,29.82%,29.82%
Calderdale,,,Burnley Road Academy,137391,2013,1.18329,27.07,69.5,,1.474858997,,,,224,4.1,1.9,,,91%,13.75%,13.75%
Calderdale,,,Burnley Road Academy,137391,2018,1.18329,27.07,69.5,,1.474858997,,,,250,3.7,5.6,,,70%,-5.41%,-5.41%
Calderdale,,,Burnley Road Academy,137391,2015,1.18329,27.07,69.5,,1.474858997,,,,245,4.2,1.5,,,77%,-7.23%,-7.23%
Calderdale,,,Burnley Road Academy,137391,2014,1.18329,27.07,69.5,,1.474858997,,,,,,,,,83%,-8.79%,-8.79%
Calderdale,,,Burnley Road Academy,137391,2024,1.18329,27.07,69.5,,1.474858997,,,,190,6.7,21,,,48%,-11.11%,-11.11%
Calderdale,,,Burnley Road Academy,137391,2016,1.18329,27.07,69.5,,1.474858997,5,30.69,,254,3.8,6.5,,,57%,-25.97%,-25.97%
Calderdale,,,Burnley Road Academy,137391,2019,1.18329,27.07,69.5,,1.474858997,,,,244,3.5,6.9,,,45%,-35.71%,-35.71%
West Lindsey,,,Caistor CofE and Methodist Primary School,120590,2015,36.45079,103.5,54.9,,10.47097577,,,,284,2.6,0,,,92.0%,19.48%,19.48%
West Lindsey,,,Caistor CofE and Methodist Primary School,120590,2013,36.45079,103.5,54.9,,10.47097577,,,,263,4.4,1.3,,,88.0%,6.02%,6.02%
West Lindsey,,,Caistor CofE and Methodist Primary School,120590,2018,36.45079,103.5,54.9,,10.47097577,,,,325,3.3,3.3,,,57.0%,1.79%,1.79%
West Lindsey,,,Caistor CofE and Methodist Primary School,120590,2019,36.45079,103.5,54.9,,10.47097577,,,,289,3.4,5.3,,,58.0%,1.75%,1.75%
West Lindsey,,,Caistor CofE and Methodist Primary School,120590,2024,36.45079,103.5,54.9,,10.47097577,,,,216,4.9,13.7,,,44.0%,-6.38%,-6.38%
West Lindsey,,,Caistor CofE and Methodist Primary School,120590,2014,36.45079,103.5,54.9,,10.47097577,,,,275,2.9,,,,77.0%,-12.50%,-12.50%
West Lindsey,,,Caistor CofE and Methodist Primary School,120590,2017,36.45079,103.5,54.9,,10.47097577,,,,322,3,2.8,,,56.0%,-17.65%,-17.65%
West Lindsey,,,Caistor CofE and Methodist Primary School,120590,2016,36.45079,103.5,54.9,,10.47097577,,,,316,3.5,4.6,,,68.0%,-26.09%,-26.09%
Calderdale,,,"Calder High School, The Calder Learning Trust",107562,2019,,,,,,,,,1184,4.6,8.7,,,88%,76.00%,76.00%
Calderdale,,,Carr Green Primary School,107500,2017,2.723014,,,,1.476046883,,,,348,3.4,6.9,,,73%,55.32%,55.32%
Calderdale,,,Carr Green Primary School,107500,2018,2.723014,,,,1.476046883,,,,344,4,7.7,,,84%,15.07%,15.07%
Calderdale,,,Carr Green Primary School,107500,2014,2.723014,,,,1.476046883,,,,,,,,,84%,10.53%,10.53%
Calderdale,,,Carr Green Primary School,107500,2015,2.723014,,,,1.476046883,,,,368,3.7,1.4,,,89%,5.95%,5.95%
